#,"Province ID","Province Name","Nscb Code","[Region] Region ID","[Region] Region Name","[Region] Nscb Code"
1,"1","ABRA","140,100,000.00","2","(CAR) Cordillera Administrative Region","140,000,000.00"
1,"","","140,100,000.00","","","140,000,000.00"
